model_id,pool_class,base_mae_eV,expert_mae_eV,expert_delta_vs_base_eV,equal_average_mae_eV,equal_average_gain_vs_base_eV,oracle_mae_eV,oracle_gain_eV,expert_win_rate,mean_winning_margin_eV,median_winning_margin_eV,mean_losing_margin_eV,gain_p05_eV,gain_p50_eV,gain_p95_eV,residual_correlation_with_base,fold_oracle_gain_min_eV,fold_oracle_gain_max_eV,fold_oracle_gains_eV,pair_oracle_gate_pass
centered_logits,contextual_gptrans_contract,0.14137364135205746,0.15821391727387904,0.01684027592182158,0.13925880669295787,0.0021148346590995903,0.10589887139737605,0.03547476995468141,0.44532,0.07966129963774678,0.054192304611206055,0.09431572415897993,-0.20904788970947263,-0.010614871978759766,0.1660934686660766,0.7432699456889263,0.03453588876685146,0.03680041474389348,"[0.035033590674400344, 0.03680041474389348, 0.03453588876685146, 0.03509833133561681, 0.035905331271866556]",True
k1_sparse_pair_training,primary_k1_v4_lineage,0.14137364135205746,0.14110968424737452,-0.0002639571046829381,0.13534006523311137,0.006033576118946088,0.10862685007035733,0.03274679128170013,0.49734,0.06584387196223938,0.044374942779541016,0.06462187995268613,-0.142315673828125,-0.0003886222839355469,0.1461418151855468,0.8495148353268174,0.03253751652240755,0.03313379481734245,"[0.03253751652240755, 0.03313379481734245, 0.0329271932921759, 0.03256478224260423, 0.03257046372538974]",True
memory_message,contextual_gptrans_contract,0.14137364135205746,0.15822110423505306,0.0168474628829956,0.13904076378285884,0.002332877569198616,0.10616789129197597,0.03520575006008149,0.4449,0.07913182751198355,0.05354642868041992,0.09377267689259068,-0.21357028484344479,-0.010576486587524414,0.16647815704345703,0.7446342027096257,0.03431496880054476,0.03602527683047929,"[0.03431496880054476, 0.03602527683047929, 0.03530679646879062, 0.034798624635243525, 0.03558282159189864]",True
memory_value,contextual_gptrans_contract,0.14137364135205746,0.15787046183526515,0.01649682048320769,0.13852557307422161,0.002848068277835847,0.1054290617364645,0.035944579615592956,0.44184,0.08135202701338258,0.05427098274230957,0.09395406352802183,-0.2146888017654419,-0.01125788688659668,0.16957836151123046,0.7479367211766278,0.0352430187225342,0.036836911067716666,"[0.0352430187225342, 0.036836911067716666, 0.03570439185920732, 0.035630812619204144, 0.03630752996531314]",True
neural_atom_k1_chem_typed_pair_token,primary_k1_v4_lineage,0.14137364135205746,0.1385749593013525,-0.002798682050704965,0.1343902988809347,0.006983342471122755,0.10821163229882717,0.03316200905323029,0.51248,0.06470888435300945,0.04395341873168945,0.06228119257163876,-0.13510695695877076,0.001687765121459961,0.14668226242065413,0.8643260454191699,0.03273235756258358,0.033457896971702594,"[0.033457896971702594, 0.03335953571552587, 0.03273235756258358, 0.03293614367004108, 0.033324082295020416]",True
neural_atom_k1_collapsed_mha,primary_k1_v4_lineage,0.14137364135205746,0.14085515493810177,-0.0005184864139556877,0.13567099084317685,0.005702650508880608,0.10967653009355068,0.031697111258506785,0.49774,0.06368206545286048,0.04261636734008789,0.06207666317156669,-0.1377622604370117,-0.00029540061950683594,0.1409736633300781,0.859858985055718,0.031337615751604916,0.032552613531180746,"[0.031415654349327096, 0.03175552332507339, 0.032552613531180746, 0.031423919724092225, 0.031337615751604916]",True
neural_atom_k1_dynamic_query,primary_k1_v4_lineage,0.14137364135205746,0.14235817252099514,0.0009845311689376801,0.13596164978206157,0.005411991569995889,0.1090681522411108,0.03230548911094666,0.49502,0.06526097755837472,0.04422712326049805,0.06592344306682311,-0.14620726108551022,-0.0007584095001220703,0.1427693128585814,0.8497008060909387,0.03167189169130366,0.03326485152483438,"[0.03245105235576631, 0.03217608764459284, 0.03326485152483438, 0.03196331006714191, 0.03167189169130366]",True
neural_atom_k1_edge_conditioned_slot,primary_k1_v4_lineage,0.14137364135205746,0.14108295508801938,-0.0002906862640380814,0.13549381577432157,0.005879825577735892,0.10872759450376034,0.032646046848297125,0.49868,0.06546492108826726,0.04431462287902832,0.06454290960354885,-0.14249091148376464,-0.0001621246337890625,0.14372137784957875,0.854617889500633,0.031996546041538634,0.03293627415878532,"[0.03258393783569337, 0.032855731587904294, 0.03285758870325735, 0.031996546041538634, 0.03293627415878532]",True
neural_atom_k1_edge_context_no_slot_attention,primary_k1_v4_lineage,0.14137364135205746,0.1416543258279562,0.00028068447589874035,0.13611342778861524,0.005260213563442223,0.11004689315259457,0.03132674819946289,0.49918,0.06275641692267897,0.04272651672363281,0.06311136271586924,-0.1394165277481079,-0.000164031982421875,0.13697550296783426,0.8538973242858716,0.0309498853553746,0.03173742055892946,"[0.03173742055892946, 0.0316674266471203, 0.031194516771162237, 0.031084278817891275, 0.0309498853553746]",True
neural_atom_k1_edge_context_read_norm,primary_k1_v4_lineage,0.14137364135205746,0.14048333811700345,-0.000890303235054013,0.13537558627307414,0.005998055078983322,0.10995223679482936,0.0314214045572281,0.50596,0.06210254675711141,0.04242515563964844,0.06180134675149604,-0.13447670936584472,0.0008077621459960938,0.13484613895416256,0.8625078015206236,0.030613787722587604,0.03213482862664452,"[0.030613787722587604, 0.031136149729917753, 0.031362121527867964, 0.03186045717921203, 0.03213482862664452]",True
