expert_count,added_model,oracle_mae_eV,gain_vs_base_eV,incremental_gain_eV
1,neural_atom_k1_v4,0.14137364135205746,0.0,0.0
2,neural_atom_k1_mose_hidden_bn,0.10723431365907192,0.03413932769298554,0.03413932769298554
3,neural_atom_k1_gpspp_bidirectional,0.0907933276551962,0.050580313696861265,0.016440986003875724
4,k1_sparse_pair_training,0.08136345432221889,0.06001018702983857,0.009429873332977304
5,neural_atom_k4_cluster,0.0749101163047552,0.06646352504730225,0.006453338017463686
6,neural_atom_k1_repset_readout,0.07009106549680233,0.07128257585525513,0.0048190508079528765
7,neural_atom_k1_h4,0.0663729642289877,0.07500067712306976,0.003718101267814633
8,neural_atom_k1_gpspp_sender,0.06327736361443996,0.0780962777376175,0.003095600614547736
9,neural_atom_k1_edge_conditioned_slot,0.06073270517289638,0.08064093617916107,0.0025446584415435777
10,neural_atom_k1_edge_context_uniform_return,0.05857693880975246,0.082796702542305,0.002155766363143921
11,neural_atom_k1_g,0.056753825334906575,0.08461981601715088,0.001823113474845886
12,neural_atom_k1_multiplicative_pair_value,0.05513933558881283,0.08623430576324463,0.001614489746093746
13,neural_atom_k1_functional_group_token,0.05369920252740383,0.08767443882465363,0.001440133061408999
14,neural_atom_k1_pair_token,0.05244121049821377,0.0889324308538437,0.0012579920291900595
15,neural_atom_k1_mose,0.05131545161664486,0.0900581897354126,0.0011257588815689126
16,neural_atom_k1_dynamic_query,0.05028188610970974,0.09109175524234772,0.001033565506935119
17,neural_atom_k1_spd_pair_token,0.04935944776952267,0.09201419358253479,0.0009224383401870706
18,neural_atom_k1_edge_context_no_slot_attention,0.04850869743764401,0.09286494391441345,0.0008507503318786608
19,neural_atom_k1_edge_read_norm,0.047734668335318566,0.0936389730167389,0.0007740291023254423
20,neural_atom_k1_inverse_return,0.04701286314427853,0.09436077820777894,0.0007218051910400369
21,neural_atom_k1_pair_token_node_return,0.04637774235188961,0.09499589900016786,0.0006351207923889213
22,neural_atom_k1_tied_selector,0.04578740471303463,0.09558623663902283,0.0005903376388549791
23,neural_atom_k1_no_attention_uniform_return,0.045231846942305566,0.0961417944097519,0.0005555577707290621
24,neural_atom_k1_rwse_mose_context_gate,0.04471295574605465,0.09666068560600281,0.0005188911962509188
25,neural_atom_k1_edge_context_read_norm,0.04422952129304409,0.09714412005901338,0.0004834344530105575
26,neural_atom_k1_r,0.043785100812315944,0.09758854053974152,0.0004444204807281457
27,neural_atom_k1_sparse_triplet,0.04337360142171383,0.09800003993034363,0.0004114993906021158
28,neural_atom_k1_chem_typed_pair_token,0.04298615613877773,0.09838748521327972,0.0003874452829360983
29,neural_atom_k1_pair_token_oneshot_triplet,0.04263177829682827,0.0987418630552292,0.00035437784194945754
30,neural_atom_k1_uniform_return,0.042313933653235436,0.09905970769882202,0.00031784464359283643
31,neural_atom_k1_collapsed_mha,0.04202216721951962,0.09935147413253784,0.00029176643371581906
32,neural_atom_k1_rwse_mose_residual_gate,0.04174595870912075,0.09962768264293671,0.000276208510398869
33,neural_atom_k1_no_slot_attention,0.04150714826524258,0.09986649308681489,0.00023881044387816935
