target,feature,importance_gain,importance_split
homo,desc_BCUT2D_MRLOW,2809.3858819156885,186
homo,desc_VSA_EState2,2399.917195711285,227
homo,desc_VSA_EState4,1250.2469323482364,250
homo,desc_MinPartialCharge,995.8218527585268,252
homo,desc_EState_VSA1,953.0719932541251,53
homo,desc_SMR_VSA6,950.9903212562203,156
homo,desc_PEOE_VSA1,909.0213869400322,164
homo,desc_MinEStateIndex,836.2750015668571,117
homo,desc_SlogP_VSA1,801.3721788004041,176
homo,desc_fr_aniline,784.4076386839151,74
homo,desc_MolMR,673.6556985378265,114
homo,desc_VSA_EState9,590.8079420253634,93
homo,desc_EState_VSA10,484.03742568567395,48
homo,desc_SMR_VSA10,451.422083619982,155
homo,desc_SlogP_VSA10,441.05580017343163,52
homo,desc_PEOE_VSA7,434.4905542768538,205
homo,desc_SMR_VSA3,424.553031899035,114
homo,desc_SMR_VSA7,418.23850316926837,131
homo,desc_PEOE_VSA8,374.97880052775145,202
homo,desc_MinAbsPartialCharge,374.1558048017323,89
homo,desc_EState_VSA8,308.20295699313283,119
homo,desc_FpDensityMorgan3,289.00167405605316,141
homo,desc_MaxAbsPartialCharge,271.8925686776638,120
homo,desc_TPSA,266.0232424661517,138
homo,morgan_935,259.0099647641182,47
homo,desc_VSA_EState5,245.59192254394293,110
homo,desc_VSA_EState6,237.9268207065761,119
homo,desc_fr_C_O,223.91520911455154,13
homo,desc_MaxPartialCharge,188.0244782604277,163
homo,desc_SlogP_VSA6,183.5306560844183,115
homo,morgan_1542,174.9946970641613,28
homo,desc_BCUT2D_LOGPHI,170.01528415456414,159
homo,desc_SMR_VSA2,161.93063242733479,19
homo,desc_fr_nitrile,159.74237786233425,33
homo,desc_PEOE_VSA14,159.05015744268894,49
homo,desc_SPS,153.87913358025253,117
homo,desc_HallKierAlpha,153.6627801693976,131
homo,morgan_1873,142.06826525181532,3
homo,desc_Chi4n,139.53800477460027,66
homo,desc_SlogP_VSA4,134.36512402445078,94
homo,desc_BCUT2D_LOGPLOW,131.39541736245155,167
homo,desc_fr_Ar_N,124.39678316563368,60
homo,desc_BCUT2D_MWHI,118.24948684498668,153
homo,desc_fr_Ar_NH,116.19941177591681,43
homo,desc_Chi1n,114.36001738160849,57
homo,morgan_378,111.7010225430131,48
homo,desc_SlogP_VSA8,109.80346247553825,60
homo,desc_MaxAbsEStateIndex,109.80059600621462,91
homo,desc_AvgIpc,103.74287043884397,148
homo,desc_PEOE_VSA6,96.30704374238849,129
