feature,feature_type,baseline_average_r2,permuted_average_r2_mean,permuted_average_r2_std,importance_r2_drop_mean,importance_r2_drop_std,n_repeats,sample_size
desc_HallKierAlpha,rdkit_desc,0.9016993066744492,0.8206098775343709,0.00474746652815271,0.08108942914007833,0.00474746652815271,5,1000
desc_BCUT2D_MRHI,rdkit_desc,0.9016993066744492,0.8553367975160274,0.0016660195789450862,0.04636250915842177,0.0016660195789450862,5,1000
desc_VSA_EState2,rdkit_desc,0.9016993066744492,0.8578856804978049,0.0019890414352532982,0.043813626176644305,0.0019890414352532982,5,1000
desc_SlogP_VSA8,rdkit_desc,0.9016993066744492,0.869967528951389,0.0012628355344664597,0.03173177772306024,0.0012628355344664597,5,1000
desc_FractionCSP3,rdkit_desc,0.9016993066744492,0.8755657974079554,0.001931398495837201,0.026133509266493826,0.001931398495837201,5,1000
desc_BertzCT,rdkit_desc,0.9016993066744492,0.8804892702972849,0.0018790606210235792,0.021210036377164343,0.0018790606210235792,5,1000
desc_SMR_VSA7,rdkit_desc,0.9016993066744492,0.8847942466011707,0.0009428871457569606,0.01690506007327852,0.0009428871457569606,5,1000
desc_MinPartialCharge,rdkit_desc,0.9016993066744492,0.8854211285323395,0.0007938804414770857,0.016278178142109745,0.0007938804414770857,5,1000
desc_BCUT2D_MRLOW,rdkit_desc,0.9016993066744492,0.8876819829225596,0.0006714495199194165,0.014017323751889577,0.0006714495199194165,5,1000
desc_SlogP_VSA1,rdkit_desc,0.9016993066744492,0.8907395379060012,0.0007789331164122881,0.010959768768447953,0.0007789331164122881,5,1000
desc_fr_aniline,rdkit_desc,0.9016993066744492,0.8910928887005399,0.0019298441023431615,0.010606417973909266,0.0019298441023431615,5,1000
desc_VSA_EState4,rdkit_desc,0.9016993066744492,0.8919284164974541,0.00042234542815252696,0.009770890176995062,0.00042234542815252696,5,1000
desc_PEOE_VSA1,rdkit_desc,0.9016993066744492,0.8925608421214981,0.0007176826987387251,0.009138464552951087,0.0007176826987387251,5,1000
desc_fr_ketone,rdkit_desc,0.9016993066744492,0.893375617366974,0.0005344117958319892,0.00832368930747518,0.0005344117958319892,5,1000
desc_NumAmideBonds,rdkit_desc,0.9016993066744492,0.8944783847877125,0.0005172065502360456,0.007220921886736731,0.0005172065502360456,5,1000
desc_SMR_VSA10,rdkit_desc,0.9016993066744492,0.8947114177385886,0.0006257295883102112,0.006987888935860553,0.0006257295883102112,5,1000
morgan_715,morgan,0.9016993066744492,0.8948850480279568,0.0008281299521445226,0.006814258646492433,0.0008281299521445226,5,1000
desc_TPSA,rdkit_desc,0.9016993066744492,0.8960265248286128,0.00020899159402010828,0.0056727818458364165,0.00020899159402010828,5,1000
desc_MolMR,rdkit_desc,0.9016993066744492,0.8960786296826395,0.00036252781089211964,0.005620676991809681,0.00036252781089211964,5,1000
desc_SMR_VSA6,rdkit_desc,0.9016993066744492,0.8964169092379766,0.001128554134362637,0.00528239743647263,0.001128554134362637,5,1000
desc_fr_nitro,rdkit_desc,0.9016993066744492,0.8964680870715076,0.0005044617983163107,0.005231219602941595,0.0005044617983163107,5,1000
