target,feature,feature_type,importance_gain,importance_split,importance_gain_norm,importance_split_norm
homo,desc_BCUT2D_MRLOW,rdkit_desc,2809.3858819156885,186,0.10128875570770399,0.0124
homo,desc_VSA_EState2,rdkit_desc,2399.917195711285,227,0.08652589454509599,0.015133333333333334
homo,desc_VSA_EState4,rdkit_desc,1250.2469323482364,250,0.04507602779671378,0.016666666666666666
homo,desc_MinPartialCharge,rdkit_desc,995.8218527585268,252,0.035903062310426545,0.0168
homo,desc_EState_VSA1,rdkit_desc,953.0719932541251,53,0.034361771701773174,0.003533333333333333
homo,desc_SMR_VSA6,rdkit_desc,950.9903212562203,156,0.034286719724109085,0.0104
homo,desc_PEOE_VSA1,rdkit_desc,909.0213869400322,164,0.03277358435789647,0.010933333333333333
homo,desc_MinEStateIndex,rdkit_desc,836.2750015668571,117,0.03015080800520205,0.0078
homo,desc_SlogP_VSA1,rdkit_desc,801.3721788004041,176,0.028892432104811357,0.011733333333333333
homo,desc_fr_aniline,rdkit_desc,784.4076386839151,74,0.02828079766519465,0.004933333333333333
homo,desc_MolMR,rdkit_desc,673.6556985378265,114,0.024287780443237927,0.0076
homo,desc_VSA_EState9,rdkit_desc,590.8079420253634,93,0.021300812286125913,0.0062
homo,desc_EState_VSA10,rdkit_desc,484.03742568567395,48,0.01745134012356851,0.0032
homo,desc_SMR_VSA10,rdkit_desc,451.422083619982,155,0.01627543636606745,0.010333333333333333
homo,desc_SlogP_VSA10,rdkit_desc,441.05580017343163,52,0.015901693492803463,0.0034666666666666665
homo,desc_PEOE_VSA7,rdkit_desc,434.4905542768538,205,0.01566499208696952,0.013666666666666667
homo,desc_SMR_VSA3,rdkit_desc,424.553031899035,114,0.015306707636639624,0.0076
homo,desc_SMR_VSA7,rdkit_desc,418.23850316926837,131,0.015079045512317108,0.008733333333333333
homo,desc_PEOE_VSA8,rdkit_desc,374.97880052775145,202,0.013519373172162584,0.013466666666666667
homo,desc_MinAbsPartialCharge,rdkit_desc,374.1558048017323,89,0.013489701131173898,0.005933333333333333
homo,desc_EState_VSA8,rdkit_desc,308.20295699313283,119,0.011111856943618785,0.007933333333333334
homo,desc_FpDensityMorgan3,rdkit_desc,289.00167405605316,141,0.0104195796494216,0.0094
homo,desc_MaxAbsPartialCharge,rdkit_desc,271.8925686776638,120,0.009802733097225161,0.008
homo,desc_TPSA,rdkit_desc,266.0232424661517,138,0.009591122170925037,0.0092
homo,morgan_935,morgan,259.0099647641182,47,0.0093382675607968,0.0031333333333333335
homo,desc_VSA_EState5,rdkit_desc,245.59192254394293,110,0.008854497492304736,0.007333333333333333
homo,desc_VSA_EState6,rdkit_desc,237.9268207065761,119,0.00857814221036308,0.007933333333333334
homo,desc_fr_C_O,rdkit_desc,223.91520911455154,13,0.00807297176982251,0.0008666666666666666
homo,desc_MaxPartialCharge,rdkit_desc,188.0244782604277,163,0.006778978127633556,0.010866666666666667
homo,desc_SlogP_VSA6,rdkit_desc,183.5306560844183,115,0.006616959211147331,0.007666666666666666
homo,morgan_1542,morgan,174.9946970641613,28,0.006309206305610472,0.0018666666666666666
homo,desc_BCUT2D_LOGPHI,rdkit_desc,170.01528415456414,159,0.006129680046503603,0.0106
homo,desc_SMR_VSA2,rdkit_desc,161.93063242733479,19,0.005838198438707236,0.0012666666666666666
homo,desc_fr_nitrile,rdkit_desc,159.74237786233425,33,0.00575930376514624,0.0022
homo,desc_PEOE_VSA14,rdkit_desc,159.05015744268894,49,0.005734346657818027,0.003266666666666667
homo,desc_SPS,rdkit_desc,153.87913358025253,117,0.005547912114905082,0.0078
homo,desc_HallKierAlpha,rdkit_desc,153.6627801693976,131,0.005540111773941003,0.008733333333333333
homo,morgan_1873,morgan,142.06826525181532,3,0.005122086611717465,0.0002
homo,desc_Chi4n,rdkit_desc,139.53800477460027,66,0.005030861359606946,0.0044
homo,desc_SlogP_VSA4,rdkit_desc,134.36512402445078,94,0.004844359869021503,0.006266666666666667
homo,desc_BCUT2D_LOGPLOW,rdkit_desc,131.39541736245155,167,0.004737290956008503,0.011133333333333334
homo,desc_fr_Ar_N,rdkit_desc,124.39678316563368,60,0.0044849642984239315,0.004
homo,desc_BCUT2D_MWHI,rdkit_desc,118.24948684498668,153,0.004263331521206335,0.0102
homo,desc_fr_Ar_NH,rdkit_desc,116.19941177591681,43,0.004189418729734671,0.0028666666666666667
homo,desc_Chi1n,rdkit_desc,114.36001738160849,57,0.004123101756101923,0.0038
homo,morgan_378,morgan,111.7010225430131,48,0.004027235153949397,0.0032
homo,desc_SlogP_VSA8,rdkit_desc,109.80346247553825,60,0.003958821092587312,0.004
homo,desc_MaxAbsEStateIndex,rdkit_desc,109.80059600621462,91,0.003958717745762323,0.006066666666666666
homo,desc_AvgIpc,rdkit_desc,103.74287043884397,148,0.0037403143256101133,0.009866666666666666
homo,desc_PEOE_VSA6,rdkit_desc,96.30704374238849,129,0.0034722252608111806,0.0086
homo,desc_EState_VSA2,rdkit_desc,95.89884081855416,145,0.0034575080350653063,0.009666666666666667
homo,desc_fr_NH0,rdkit_desc,93.39455900713801,48,0.0033672194099773167,0.0032
homo,desc_EState_VSA7,rdkit_desc,91.73787959292531,96,0.0033074899874183375,0.0064
homo,desc_EState_VSA4,rdkit_desc,89.93833895027637,97,0.0032426098889908966,0.006466666666666667
homo,desc_SlogP_VSA11,rdkit_desc,89.17290937155485,39,0.0032150133206057412,0.0026
homo,morgan_1603,morgan,88.88473296165466,26,0.0032046234947825975,0.0017333333333333333
homo,desc_EState_VSA3,rdkit_desc,88.66331116110086,145,0.003196640419616946,0.009666666666666667
homo,desc_BertzCT,rdkit_desc,86.78948855772614,83,0.003129082181663755,0.005533333333333334
homo,desc_BCUT2D_MRHI,rdkit_desc,78.87963677570224,166,0.0028439027586479133,0.011066666666666667
homo,morgan_1114,morgan,78.03358447551727,25,0.0028133994428517434,0.0016666666666666668
homo,desc_fr_allylic_oxid,rdkit_desc,77.93406203202903,65,0.0028098112905331875,0.004333333333333333
homo,desc_Chi2n,rdkit_desc,76.10234978795052,51,0.002743771286840008,0.0034
homo,desc_Chi0n,rdkit_desc,75.6300743445754,65,0.002726744009697805,0.004333333333333333
homo,desc_PEOE_VSA4,rdkit_desc,75.16018710657954,59,0.0027098028361958308,0.003933333333333333
homo,desc_SlogP_VSA2,rdkit_desc,74.56903067603707,164,0.0026884894596092635,0.010933333333333333
homo,morgan_843,morgan,67.0517575442791,32,0.002417463949467695,0.0021333333333333334
homo,desc_NumAmideBonds,rdkit_desc,66.2931887358427,24,0.002390114737236015,0.0016
homo,desc_Kappa3,rdkit_desc,66.10080328211188,125,0.0023831785298071622,0.008333333333333333
homo,desc_SMR_VSA1,rdkit_desc,65.19796539098024,74,0.002350627883351954,0.004933333333333333
homo,desc_SMR_VSA5,rdkit_desc,63.076306235045195,74,0.002274134220689287,0.004933333333333333
homo,desc_BCUT2D_MWLOW,rdkit_desc,62.567175939679146,165,0.0022557781897706865,0.011
homo,desc_PEOE_VSA10,rdkit_desc,61.72347640991211,104,0.0022253597000532806,0.006933333333333333
homo,desc_FpDensityMorgan1,rdkit_desc,60.89862672612071,98,0.0021956208170273027,0.006533333333333334
homo,desc_NumHDonors,rdkit_desc,59.316424548625946,16,0.002138576574416108,0.0010666666666666667
homo,desc_EState_VSA9,rdkit_desc,57.52282349392772,80,0.002073910620110632,0.005333333333333333
homo,desc_EState_VSA6,rdkit_desc,55.450501538813114,87,0.0019991957460840765,0.0058
homo,desc_VSA_EState1,rdkit_desc,55.129057720303535,95,0.0019876065070918996,0.006333333333333333
homo,desc_NHOHCount,rdkit_desc,52.6771989390254,39,0.0018992079262044191,0.0026
homo,morgan_1385,morgan,51.62068095803261,21,0.0018611165438968363,0.0014
homo,desc_BCUT2D_CHGLO,rdkit_desc,51.03755082190037,141,0.0018400925449208669,0.0094
homo,morgan_1097,morgan,50.975231286138296,35,0.001837845695075762,0.0023333333333333335
homo,desc_VSA_EState3,rdkit_desc,49.89327294379473,116,0.0017988370936127185,0.007733333333333333
homo,desc_VSA_EState8,rdkit_desc,48.30079931393266,138,0.0017414225271395391,0.0092
homo,morgan_1384,morgan,47.88420809432864,16,0.0017264028722946616,0.0010666666666666667
homo,desc_SlogP_VSA5,rdkit_desc,47.20667918026447,124,0.0017019754481008887,0.008266666666666667
homo,desc_NumHAcceptors,rdkit_desc,45.52037215605378,39,0.0016411778405799906,0.0026
homo,morgan_1380,morgan,44.62274640798569,5,0.0016088151111670354,0.0003333333333333333
homo,desc_PEOE_VSA2,rdkit_desc,42.80589034035802,74,0.0015433107276024277,0.004933333333333333
homo,desc_FpDensityMorgan2,rdkit_desc,42.303960993885994,82,0.0015252143175348064,0.0054666666666666665
homo,desc_qed,rdkit_desc,40.21053636260331,162,0.0014497386139529637,0.0108
homo,desc_fr_furan,rdkit_desc,37.17198246717453,22,0.0013401875034416116,0.0014666666666666667
homo,desc_PEOE_VSA9,rdkit_desc,37.07582761719823,137,0.0013367207653291813,0.009133333333333334
homo,desc_VSA_EState7,rdkit_desc,35.44598128274083,123,0.001277958774577173,0.0082
homo,desc_MaxEStateIndex,rdkit_desc,34.83353462070227,14,0.0012558778063717934,0.0009333333333333333
homo,desc_fr_bicyclic,rdkit_desc,33.27331133931875,16,0.0011996259842868308,0.0010666666666666667
homo,desc_Kappa2,rdkit_desc,32.77571860328317,60,0.0011816859250708043,0.004
homo,desc_PEOE_VSA5,rdkit_desc,32.50776541233063,7,0.001172025221116179,0.00046666666666666666
homo,desc_PEOE_VSA3,rdkit_desc,32.31608730554581,49,0.0011651145161618976,0.003266666666666667
homo,desc_PEOE_VSA11,rdkit_desc,31.805030908435583,70,0.0011466890421488868,0.004666666666666667
homo,desc_BalabanJ,rdkit_desc,31.715011324733496,124,0.0011434435030859894,0.008266666666666667
homo,desc_fr_hdrzone,rdkit_desc,31.40288746356964,32,0.0011321902830397587,0.0021333333333333334
homo,morgan_1145,morgan,31.35509207099676,11,0.0011304670822956278,0.0007333333333333333
homo,desc_FractionCSP3,rdkit_desc,30.950642604380846,49,0.0011158851825701845,0.003266666666666667
homo,morgan_725,morgan,30.619674876332283,14,0.001103952571400876,0.0009333333333333333
homo,desc_NOCount,rdkit_desc,29.3766174800694,26,0.001059135752981161,0.0017333333333333333
homo,desc_MolLogP,rdkit_desc,29.134741242974997,94,0.001050415219697265,0.006266666666666667
homo,morgan_864,morgan,28.147482067346573,17,0.0010148208735790917,0.0011333333333333334
homo,desc_fr_nitroso,rdkit_desc,26.781428284943104,35,0.0009655695803551434,0.0023333333333333335
homo,morgan_1808,morgan,26.011857714504004,31,0.0009378237138969936,0.0020666666666666667
homo,desc_MinAbsEStateIndex,rdkit_desc,24.983098415657878,122,0.0009007331347872985,0.008133333333333333
homo,desc_BCUT2D_CHGHI,rdkit_desc,24.781703494489193,89,0.0008934721027224839,0.005933333333333333
homo,morgan_1814,morgan,24.286049146205187,30,0.000875601929556893,0.002
homo,morgan_1809,morgan,24.1568421125412,6,0.0008709435379301846,0.0004
homo,morgan_1208,morgan,23.866511842235923,24,0.0008604760574702022,0.0016
homo,desc_fr_nitro,rdkit_desc,23.842097580432892,4,0.0008595958329999828,0.0002666666666666667
homo,morgan_1143,morgan,23.07710075378418,1,0.0008320148669282257,6.666666666666667e-05
homo,morgan_1999,morgan,22.85805683583021,22,0.00082411752322841,0.0014666666666666667
homo,desc_SMR_VSA4,rdkit_desc,22.609345488250256,53,0.0008151505589217544,0.003533333333333333
homo,desc_EState_VSA5,rdkit_desc,22.550866471603513,99,0.0008130421740005916,0.0066
homo,morgan_1136,morgan,20.201556511223316,14,0.0007283408575348151,0.0009333333333333333
homo,desc_fr_imidazole,rdkit_desc,19.369627758860588,20,0.0006983467478944463,0.0013333333333333333
homo,desc_Chi3n,rdkit_desc,18.997438453137875,59,0.0006849279463310735,0.003933333333333333
homo,desc_NumAromaticHeterocycles,rdkit_desc,18.798790998756886,10,0.0006777659706095207,0.0006666666666666666
