feature,total_gain
desc_BCUT2D_MRHI,555.0
desc_HallKierAlpha,404.0
desc_VSA_EState2,324.0
desc_BCUT2D_MRLOW,310.0
desc_MinPartialCharge,277.0
desc_PEOE_VSA1,268.0
desc_SlogP_VSA1,261.0
desc_SlogP_VSA8,253.0
desc_MaxPartialCharge,232.0
desc_fr_allylic_oxid,230.0
desc_SMR_VSA7,225.0
desc_SMR_VSA10,198.0
desc_VSA_EState4,188.0
desc_VSA_EState3,180.0
desc_TPSA,169.0
desc_PEOE_VSA8,168.0
desc_fr_ketone,166.0
desc_FractionCSP3,160.0
desc_MaxAbsPartialCharge,159.0
desc_fr_aldehyde,157.0
atompair_1216,155.0
desc_BCUT2D_MWLOW,154.0
desc_SlogP_VSA2,146.0
desc_SMR_VSA6,145.0
desc_VSA_EState5,140.0
desc_BCUT2D_CHGLO,138.0
desc_MinAbsPartialCharge,137.0
desc_BCUT2D_LOGPLOW,137.0
desc_fr_aniline,136.0
desc_BertzCT,131.0
desc_SlogP_VSA10,127.0
desc_SPS,125.0
desc_PEOE_VSA14,124.0
maccs_44,121.0
desc_PEOE_VSA7,121.0
desc_SlogP_VSA6,121.0
desc_VSA_EState7,117.0
desc_SlogP_VSA3,114.0
desc_PEOE_VSA13,112.0
desc_PEOE_VSA4,110.0
desc_BCUT2D_LOGPHI,110.0
desc_MolMR,109.0
desc_PEOE_VSA11,109.0
desc_BCUT2D_MWHI,108.0
desc_AvgIpc,106.0
desc_NumAmideBonds,106.0
desc_SlogP_VSA4,105.0
desc_BalabanJ,105.0
desc_NumHAcceptors,104.0
desc_fr_NH0,103.0
desc_MinEStateIndex,103.0
desc_SMR_VSA3,102.0
desc_qed,97.0
desc_PEOE_VSA6,94.0
desc_fr_Ar_NH,93.0
desc_BCUT2D_CHGHI,92.0
desc_MaxAbsEStateIndex,91.0
desc_VSA_EState1,89.0
desc_PEOE_VSA2,88.0
desc_PEOE_VSA3,88.0
desc_EState_VSA10,87.0
desc_PEOE_VSA10,85.0
desc_SlogP_VSA5,84.0
desc_fr_azo,84.0
maccs_82,83.0
torsion_96,80.0
morgan_314,78.0
desc_EState_VSA7,76.0
desc_SMR_VSA2,76.0
morgan_378,75.0
desc_fr_nitroso,75.0
desc_VSA_EState6,74.0
desc_fr_imidazole,74.0
desc_NumAliphaticRings,73.0
desc_PEOE_VSA9,72.0
morgan_864,72.0
desc_FpDensityMorgan3,70.0
desc_EState_VSA2,69.0
maccs_75,69.0
desc_EState_VSA8,67.0
desc_VSA_EState9,67.0
desc_MolLogP,66.0
desc_EState_VSA1,66.0
morgan_432,66.0
torsion_1460,65.0
desc_PEOE_VSA5,65.0
desc_EState_VSA6,64.0
