split_type,strategy,alpha,gap_mae,gap_rmse,gap_r2,gap_mean_signed_error
random,direct_gap,,0.1980610551568239,0.30283687725535957,0.899665270653313,-0.009168521012609268
random,orbital_gap,0.0,0.20091344851884282,0.3095623661233138,0.8951592594348162,-0.0042399158177585505
random,blend_gap,0.0,0.20091344851884282,0.3095623661233138,0.8951592594348162,-0.0042399158177585505
random,blend_gap,0.1,0.1980586845174973,0.3060206922017389,0.8975444824849158,-0.004732776337243759
random,blend_gap,0.2,0.19578203551497045,0.3030865073415021,0.8994997895509599,-0.005225636856728976
random,blend_gap,0.3,0.19397993326309756,0.30077759083811667,0.9010251806329483,-0.0057184973762135095
random,blend_gap,0.4,0.19273783940960512,0.2991084229996954,0.9021206557308813,-0.0062113578956988404
random,blend_gap,0.5,0.19210146683004195,0.2980897509298499,0.9027862148447587,-0.006704218415183893
random,blend_gap,0.6,0.19203186119537233,0.29772825168355677,0.9030218579745807,-0.007197078934669001
random,blend_gap,0.7,0.19266157908417392,0.29802631667815305,0.9028275851203471,-0.007689939454154049
random,blend_gap,0.8,0.19394454007878983,0.2989819732960808,0.9022033962820579,-0.008182799973639096
random,blend_gap,0.9,0.19582122340467756,0.3005889495978886,0.9011492914597132,-0.008675660493124206
random,blend_gap,1.0,0.1980610551568239,0.30283687725535957,0.899665270653313,-0.009168521012609268
scaffold,direct_gap,,0.236992534642051,0.30812058577718876,0.8026656842459942,0.1102889783564881
scaffold,orbital_gap,0.0,0.22208032026407956,0.28743709607419216,0.8282697438598703,0.03628920875756454
scaffold,blend_gap,0.0,0.22208032026407956,0.28743709607419216,0.8282697438598703,0.03628920875756454
scaffold,blend_gap,0.1,0.21911068291039437,0.2838137107779129,0.8325720620682517,0.04368918571745677
scaffold,blend_gap,0.2,0.21714796031734054,0.28144993864067014,0.835349330461129,0.05108916267734898
scaffold,blend_gap,0.3,0.21606090015002422,0.28037763963178125,0.8366015490385017,0.05848913963724189
scaffold,blend_gap,0.4,0.2162110628497448,0.28061161943063706,0.8363287178003705,0.06588911659713396
scaffold,blend_gap,0.5,0.21744379360516536,0.2821486282490563,0.834530836746735,0.07328909355702633
scaffold,blend_gap,0.6,0.21957741346657272,0.2849675827098714,0.8312079058775954,0.08068907051691868
scaffold,blend_gap,0.7,0.22269148393432933,0.2890309763287222,0.8263599251929514,0.08808904747681104
scaffold,blend_gap,0.8,0.22657470262781948,0.2942872655568113,0.8199868946928032,0.09548902443670343
scaffold,blend_gap,0.9,0.23132631996552078,0.30067389539103606,0.8120888143771507,0.10288900139659572
scaffold,blend_gap,1.0,0.236992534642051,0.30812058577718876,0.8026656842459942,0.1102889783564881
