scaffold,n_molecules,split
c1ccccc1,1123,test
NO_SCAFFOLD,400,valid
O=C(Nc1ccccc1)c1ccccc1,154,valid
c1ccc2[nH]ccc2c1,91,valid
c1ccc2ccccc2c1,85,valid
O=C(COc1ccccc1)Nc1ccccc1,69,valid
c1ccc(Cc2ccccc2)cc1,61,valid
c1ccncc1,59,valid
c1ccc(-c2ccccc2)cc1,57,valid
c1ccc2[nH]cnc2c1,54,valid
O=C1c2ccccc2C(=O)c2ccccc21,53,train
C(=Cc1ccccc1)c1ccccc1,47,train
c1ccc(-c2ccncc2)cc1,42,train
c1ccc(-c2cn3ccccc3n2)cc1,40,train
c1ccc(COc2ccccc2)cc1,40,train
c1ccc(N=Nc2ccccc2)cc1,40,train
O=C(Cc1ccccc1)Nc1ccccc1,36,train
O=C(c1ccccc1)N1CCCCC1,35,train
O=C(Oc1ccccc1)c1ccccc1,35,train
c1cocn1,34,train
C(=NNc1cnco1)c1ccccc1,33,train
c1ccc2c(c1)OCCO2,33,train
C1CCCCC1,32,train
O=C(c1ccccc1)N1C=NCC1,30,train
O=c1ccc2ccccc2o1,30,train
O=C(c1ccccc1)c1ccccc1,30,train
c1cnoc1,29,train
c1ccc(OCCN2CCOCC2)cc1,27,train
O=C1CCCN1c1ccccc1,26,train
O=C(c1ccccc1)n1cnc2ccccc21,26,train
c1ccc2ncccc2c1,26,train
O=C1C=CC(=NC(=O)c2ccccc2)C=C1,26,train
c1ccc2c(c1)OCO2,25,train
c1ccc(-n2cccc2)cc1,25,train
O=C(COc1ccccc1)N1CCCCC1,24,train
c1ccc(OCCN2CCCCC2)cc1,24,train
c1ccc(Oc2ccccc2)cc1,23,train
C=C1C(=O)CCCC1=O,23,train
c1ccoc1,22,train
O=C1CC(=O)NC(=O)N1,21,train
O=c1cc[nH]c(=O)[nH]1,21,train
C1CCOCC1,21,train
O=C(NCc1ccccc1)c1ccccc1,20,train
O=C(CCC1CCCCC1)Nc1ccccc1,20,train
C1CCNCC1,20,train
O=C1C=CCCC1,19,train
O=C(Nc1ccccc1)C1CCCCC1,19,train
c1ccc(Nc2ccccc2)cc1,19,train
O=C1NC(=O)c2ccccc21,19,train
c1ccc2c(c1)Cc1ccccc1-2,19,train
c1cc[nH]c1,18,train
c1ccc(OCCN2CCCC2)cc1,18,train
O=C(c1ccoc1)N1CCCCC1,17,train
O=C(Nc1ccccc1)c1cc2ccccc2o1,17,train
O=C1CCC(=O)N1c1ccccc1,17,train
c1ccc(C2CCCC2)cc1,17,train
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,17,train
c1ccc(CN2CCCCC2)cc1,17,train
c1ccc(CCc2ccccc2)cc1,17,train
O=C(C=Cc1ccccc1)c1ccccc1,17,train
c1ccc2cc3c(ccc4ccccc43)cc2c1,16,train
O=C(C=Cc1ccccc1)Nc1ccccc1,16,train
c1ccc(-n2cccn2)cc1,15,train
C1C2CC3CC1CC(C2)C3,15,train
O=C(c1ccccc1)N1CCNCC1,15,train
c1ncncn1,15,train
O=C(Cc1ccccc1)c1ccccc1,15,train
C1=CCCCC1,15,train
O=C(Nc1ccccc1)c1ccco1,14,train
O=C1CCCO1,14,train
c1ccc(C2CCNCC2)cc1,14,train
c1ccc(C2CCCCC2)cc1,14,train
c1ccc(-c2nc3ccccc3[nH]2)cc1,14,train
O=C(CCc1ccccc1)Nc1ccccc1,14,train
O=c1cc(-c2ccccc2)oc2ccccc12,13,train
C(=Nc1ccccc1)c1ccccc1,13,train
O=C(Nc1ccccn1)c1ccccc1,13,train
C1CCC1,13,train
c1ccc2cc3ccccc3cc2c1,13,train
C(=NNc1ccccc1)c1ccccc1,13,train
C1=Cc2ccccc2OC1,12,train
c1ccc(OCCN2CCNCC2)cc1,12,train
c1ccc(-n2ccc(-c3ccco3)n2)cc1,12,train
O=c1ccn(C2CCCO2)c(=O)[nH]1,12,train
O=C(NN=C1CCCC1)c1ccccc1,12,train
O=C1[C@H]2CC=CC[C@H]2C(=O)N1c1ccccc1,12,train
O=C(CC1CCCCC1)Nc1ccccc1,12,train
O=C1NC=C[C@H](c2ccccc2)N1,12,train
c1ccc2c(c1)CCNC2,12,train
c1ccc(-c2ccon2)cc1,12,train
O=C(COc1ccccc1)NCc1ccccc1,12,train
O=C1CC(=O)N(C2CCCCC2)C(=O)N1,11,train
c1ccc(-n2cnc3ccccc32)cc1,11,train
