feature,total_gain
desc_PEOE_VSA1,294.0
desc_BCUT2D_MRLOW,292.0
desc_FractionCSP3,270.0
desc_BCUT2D_MRHI,260.0
desc_MinPartialCharge,254.0
desc_SlogP_VSA8,248.0
desc_SMR_VSA10,240.0
desc_VSA_EState4,234.0
desc_MaxPartialCharge,233.0
desc_fr_ketone,232.0
desc_SlogP_VSA1,205.0
desc_TPSA,202.0
desc_MaxAbsPartialCharge,197.0
desc_VSA_EState2,176.0
desc_PEOE_VSA8,170.0
desc_VSA_EState5,162.0
desc_BCUT2D_LOGPLOW,148.0
desc_fr_aniline,147.0
desc_SMR_VSA6,144.0
morgan_97,142.0
desc_fr_allylic_oxid,139.0
desc_VSA_EState3,136.0
desc_MinEStateIndex,136.0
desc_EState_VSA10,126.0
desc_VSA_EState7,126.0
desc_BCUT2D_MWHI,126.0
desc_PEOE_VSA7,122.0
atompair_1216,119.0
desc_BalabanJ,112.0
desc_BCUT2D_MWLOW,111.0
desc_NumHAcceptors,111.0
desc_SMR_VSA3,110.0
desc_PEOE_VSA3,109.0
desc_SPS,108.0
desc_MolLogP,107.0
desc_SMR_VSA7,106.0
desc_BCUT2D_CHGHI,97.0
desc_AvgIpc,96.0
desc_FpDensityMorgan3,95.0
desc_MaxAbsEStateIndex,94.0
desc_EState_VSA7,93.0
morgan_314,91.0
desc_HallKierAlpha,91.0
desc_MinAbsPartialCharge,91.0
maccs_97,90.0
desc_EState_VSA8,90.0
desc_SlogP_VSA3,90.0
desc_PEOE_VSA4,88.0
desc_fr_NH0,88.0
desc_SlogP_VSA2,87.0
maccs_44,84.0
desc_EState_VSA6,83.0
desc_EState_VSA2,83.0
desc_fr_Ar_NH,83.0
desc_PEOE_VSA2,82.0
maccs_84,81.0
desc_VSA_EState9,81.0
maccs_118,81.0
desc_BCUT2D_LOGPHI,80.0
desc_MolMR,78.0
desc_BertzCT,78.0
desc_MinAbsEStateIndex,78.0
desc_fr_aldehyde,75.0
desc_VSA_EState6,75.0
desc_fr_nitroso,74.0
torsion_96,74.0
desc_PEOE_VSA13,73.0
desc_SlogP_VSA6,72.0
desc_PEOE_VSA6,72.0
desc_qed,71.0
desc_SMR_VSA2,70.0
maccs_75,68.0
desc_NumAliphaticRings,67.0
desc_BCUT2D_CHGLO,67.0
maccs_134,67.0
desc_EState_VSA1,67.0
desc_PEOE_VSA14,66.0
maccs_25,65.0
desc_SlogP_VSA10,65.0
desc_Kappa3,64.0
morgan_843,62.0
desc_PEOE_VSA12,61.0
desc_FpDensityMorgan2,59.0
desc_EState_VSA3,59.0
desc_EState_VSA9,58.0
morgan_879,58.0
maccs_98,57.0
desc_VSA_EState8,57.0
desc_PEOE_VSA10,57.0
torsion_322,57.0
desc_SlogP_VSA4,56.0
torsion_1128,56.0
desc_NHOHCount,56.0
desc_EState_VSA4,56.0
desc_NumAmideBonds,55.0
maccs_40,55.0
desc_PEOE_VSA9,55.0
desc_PEOE_VSA11,54.0
desc_fr_pyridine,54.0
desc_SMR_VSA1,54.0
desc_fr_imidazole,53.0
desc_SlogP_VSA5,53.0
desc_fr_C_S,52.0
torsion_320,52.0
desc_VSA_EState1,52.0
desc_SlogP_VSA12,51.0
desc_Chi4n,50.0
maccs_48,48.0
desc_SMR_VSA9,47.0
morgan_1087,46.0
desc_VSA_EState10,46.0
desc_fr_hdrzone,45.0
atompair_1744,45.0
desc_Chi2n,43.0
morgan_378,43.0
desc_SMR_VSA5,43.0
maccs_72,43.0
desc_Chi4v,42.0
maccs_129,42.0
atompair_24,42.0
torsion_1686,41.0
desc_EState_VSA5,40.0
morgan_1384,40.0
