model,source,average_mae,average_r2,average_rmse,homo_mae,homo_r2,lumo_mae,lumo_r2,gap_mae,gap_r2,homo_rmse,lumo_rmse,gap_rmse
P4_GNN_SchNet_3D,phase4_gnn_3d,0.1491643190383911,0.894249419371287,,0.1308957040309906,0.8537026643753052,0.13829803466796875,0.9332408905029297,0.178299218416214,0.8958047032356262,,,
P4_Stack_ridge,phase4_ensemble,0.15548325261435658,0.8905962563538545,,,,,,,,,,
P4_Blend_weighted,phase4_ensemble,0.15825927754283547,0.886692074537498,,,,,,,,,,
P4_PerTarget_tuned,phase4_per_target,0.1589269178146763,0.885650648220372,,0.13377518419075826,0.8581429964792129,0.14785721851955289,0.9210674133156712,0.19514835073371778,0.8777415348662315,,,
P4_ens_lgbm,phase4_ensemble,0.1596478487680887,0.8853385942334663,,0.1368720983445636,0.8530433291797528,0.1462887643862215,0.92288078082961,0.1957826835734809,0.8800916726910359,,,
P3_PerTarget_LGBM,phase3,0.1596478487680887,0.8853385942334663,0.2252873232602116,0.1368720983445636,0.8530433291797528,0.1462887643862215,0.92288078082961,0.1957826835734809,0.8800916726910359,0.1892729248014143,0.2092538592838399,0.2773351856953805
P3_Tuned_LGBM,phase3,0.1596478487680887,0.8853385942334663,0.2252873232602116,0.1368720983445636,0.8530433291797528,0.1462887643862215,0.92288078082961,0.1957826835734809,0.8800916726910359,0.1892729248014143,0.2092538592838399,0.2773351856953805
P4_ens_Phase3_best(LGBM),phase4_ensemble,0.1596,0.8853,,,,,,,,,,
P4_ens_xgb,phase4_ensemble,0.1615809549887975,0.881693422794342,,0.1384897977113723,0.8484727740287781,0.1488793343305587,0.919645607471466,0.1973737329244613,0.876961886882782,,,
P3_Tuned_XGB,phase3,0.1615809549887975,0.881693422794342,0.2289076272526015,0.1384897977113723,0.8484727740287781,0.1488793343305587,0.919645607471466,0.1973737329244613,0.876961886882782,0.1921937080869287,0.2135978814697306,0.2809312922011451
P4_GNN_AttentiveFP,phase4_gnn,0.16302594542503357,0.8788431684176127,,0.14494578540325165,0.8376607894897461,0.14470626413822174,0.928712010383606,0.19942578673362732,0.8701567053794861,,,
P3_HistGBT,phase3,0.1692466833170022,0.8761457571333588,0.2351746764621175,0.1424977611143914,0.846130075320983,0.1585802533525639,0.9126612548290876,0.2066620354840514,0.8696459412500057,0.1936737276086988,0.2226873968826765,0.289162904894977
P4_ens_hgbt,phase4_ensemble,0.1692466833170022,0.8761457571333588,,0.1424977611143914,0.846130075320983,0.1585802533525639,0.9126612548290876,0.2066620354840514,0.8696459412500057,,,
Phase3_baseline(no_select),phase3,0.1706,0.8755,,,,,,,,,,
P3_CatBoost,phase3,0.1859078574066115,0.8604451941824113,0.2487414979290569,0.157909787642915,0.8223449944490878,0.1717786109804782,0.9059181586971716,0.2280351735964413,0.8530724294009742,0.2081050240870833,0.2311240126420643,0.3069954570580233
