number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cutoff,params_dropout,params_hidden_channels,params_lr,params_num_filters,params_num_gaussians,params_num_interactions,params_scheduler,params_weight_decay,state
0,0.16716162860393524,2026-06-07 10:30:42.440215,2026-06-07 10:36:12.320291,0 days 00:05:29.880076,128,6.0,0.3,192,0.0012106896936002161,128,25,3,plateau,4.335281794951567e-06,COMPLETE
1,0.14938358962535858,2026-06-07 10:36:12.321346,2026-06-07 11:09:17.979482,0 days 00:33:05.658136,64,6.0,0.2,192,0.0001666698328606644,256,100,6,plateau,1.5673095467235414e-06,COMPLETE
2,0.16406168043613434,2026-06-07 11:09:17.980485,2026-06-07 11:31:15.791302,0 days 00:21:57.810817,32,9.0,0.05,128,0.0018258230439200246,256,25,4,plateau,0.00021154290797261214,COMPLETE
3,0.16293267905712128,2026-06-07 11:31:15.791302,2026-06-07 11:41:33.800425,0 days 00:10:18.009123,128,11.0,0.0,256,0.0019229567074543386,256,50,4,cosine,0.00020736445177905034,COMPLETE
4,0.1642209142446518,2026-06-07 11:41:33.801429,2026-06-07 11:48:58.207329,0 days 00:07:24.405900,128,11.0,0.2,128,0.0014265611436377933,192,100,4,cosine,2.6100256506134754e-05,COMPLETE
5,0.15197601914405823,2026-06-07 11:48:58.207329,2026-06-07 12:00:48.772278,0 days 00:11:50.564949,64,7.0,0.1,192,0.0009616005310543457,192,100,5,plateau,4.857295179217169e-06,COMPLETE
6,0.1571142077445984,2026-06-07 12:00:48.772278,2026-06-07 12:17:52.725789,0 days 00:17:03.953511,64,7.0,0.1,192,0.001159475956637248,192,25,6,plateau,0.00038211294416912254,COMPLETE
7,0.17236767709255219,2026-06-07 12:17:52.725789,2026-06-07 12:41:07.019519,0 days 00:23:14.293730,32,8.0,0.05,192,0.00011168401671455933,192,25,6,plateau,6.740513796374044e-05,COMPLETE
8,0.18879757821559906,2026-06-07 12:41:07.019519,2026-06-07 13:05:41.074502,0 days 00:24:34.054983,32,10.0,0.15000000000000002,256,0.00013105985983147072,256,25,3,cosine,0.00032055863990707473,COMPLETE
9,0.15903371572494507,2026-06-07 13:05:41.075566,2026-06-07 13:15:43.742507,0 days 00:10:02.666941,64,6.0,0.3,192,0.0013849841877516947,256,25,4,plateau,5.940525755701932e-06,COMPLETE
10,0.17737352848052979,2026-06-07 13:15:43.742507,2026-06-07 13:26:51.900107,0 days 00:11:08.157600,64,12.0,0.2,128,0.0002951737584250912,128,100,5,cosine,1.1152510934551289e-06,COMPLETE
11,0.15310122072696686,2026-06-07 13:26:51.900107,2026-06-07 13:42:03.629488,0 days 00:15:11.729381,64,7.0,0.2,192,0.000557017395352615,192,100,5,plateau,1.0717521925373226e-06,COMPLETE
12,0.15730276703834534,2026-06-07 13:42:03.629488,2026-06-07 14:04:45.185820,0 days 00:22:41.556332,64,8.0,0.15000000000000002,192,0.00037574019104600514,256,100,5,plateau,4.801943379928181e-06,COMPLETE
13,0.155832439661026,2026-06-07 14:04:45.185820,2026-06-07 14:25:27.106723,0 days 00:20:41.920903,64,7.0,0.25,192,0.00021198133832926646,192,100,6,plateau,1.3404238077833864e-05,COMPLETE
14,0.15169084072113037,2026-06-07 14:25:27.106723,2026-06-07 14:34:44.439522,0 days 00:09:17.332799,64,6.0,0.1,256,0.0007260773672404372,128,50,5,plateau,2.3897370596117997e-06,COMPLETE
