cid,mw,formula,smiles,homo,lumo,gap,homo_pred_single,homo_pred_ens8,homo_conf_std,lumo_pred_single,lumo_pred_ens8,lumo_conf_std,gap_pred_single,gap_pred_ens8,gap_conf_std
119852222,456.40584,C22H31Cl2N3O3,CC(C1=CC(=C(C=C1)OCC2=CC=NC=C2)OC)NC(=O)C3(CCCCC3)N.Cl.Cl,-5.77969818462,-0.7047748727950003,5.074923311825,-5.484877,-5.565942,0.096408166,-0.5491204,-0.7927526,0.19782127,4.93363,4.7712865,0.1819289
119852065,312.27898,C13H27Cl2N3O,CN(C)CC1CCN(CC1)C(=O)C2CCNC2.Cl.Cl,-5.869495755285,-0.2557870194699996,5.613708735815001,-5.249851,-5.7136717,0.20467548,-0.08591747,-0.06972717,0.085870214,5.1664925,5.639746,0.24820182
119852738,370.35812,C16H33Cl2N3O2,CC1CC(CN(C1)CCCCNC(=O)C2COCCN2)C.Cl.Cl,-6.051812035119999,0.122451232725,6.174263267844999,-5.552635,-5.614299,0.15773888,-0.27874875,-0.19796431,0.26853666,5.2715697,5.4163575,0.29226515
119852632,342.34802,C15H33Cl2N3O,CC1CCCCN1CCCCNC(=O)C(C)CNC.Cl.Cl,-5.602824181795,-0.0761918781400003,5.526632303655,-5.58788,-5.677054,0.065921225,0.074298024,-0.04765092,0.12235047,5.6599216,5.6273007,0.14733873
119852230,416.34198,C19H27Cl2N3O3,CC(C1=CC(=C(C=C1)OCC2=CC=NC=C2)OC)NC(=O)CCCN.Cl.Cl,-5.64364125937,-0.7700821969150002,4.873559062455,-5.674515,-5.6309795,0.10781657,-0.75663465,-0.7665007,0.14896327,4.9146104,4.8625817,0.06550822
119852806,370.4918,C20H30N6O,CCN(CC)CC1=CC(=CC=C1)NC(=O)C2=C(N(N=N2)C3CCNCC3)C,-5.521190026645,-0.8489952135600003,4.672194813085,-5.580531,-5.619124,0.07362197,-0.9074248,-0.8946143,0.061109208,4.6740847,4.725782,0.08276696
119852740,342.34802,C15H33Cl2N3O,CC1CC(CN(C1)CCCCNC(=O)C(C)(C)N)C.Cl.Cl,-6.043648619605,-0.0217691080399999,6.021879511565,-5.8030853,-5.8111877,0.20824242,0.13053751,-0.08557378,0.32986164,5.9305153,5.726022,0.2402288
119852366,372.28942,C17H23Cl2N3O2,CC1=CC=C(C=C1)OC2=NC=C(C=C2)NC(=O)C(C)CNC.Cl.Cl,-5.8831014478100006,-0.7728033354199999,5.110298112390001,-5.434026,-5.535013,0.2032961,-0.49992263,-0.81627226,0.26390612,4.935091,4.7172165,0.4124993
119852579,400.77142,C16H28Cl3N3O2,CCN(CC)CCCCNC(=O)C1=CC(=C(C=C1OC)N)Cl.Cl.Cl,-5.48581522608,-0.4571512688399997,5.02866395724,-5.8031273,-5.5834513,0.12950762,-0.65761167,-0.8143374,0.22419648,5.145078,4.768007,0.33348912
119852782,398.41128,C18H37Cl2N3O2,CC1CC(CN(C1)CCCCNC(=O)C2(CCNCC2)OC)C.Cl.Cl,-5.7688136306,-0.1904796953499996,5.57833393525,-5.803645,-5.6327653,0.15200469,-0.44245636,-0.27463156,0.3179942,5.362329,5.3570337,0.38048047
21612999,312.5305464,C10H6Cl3F2N3,C1=C(N(N=C1)C2=C(C=C(C(=C2Cl)Cl)C(F)F)Cl)N,-5.662689228905,-1.7224806736649998,3.94020855524,-5.87098,-5.8694105,0.01002914,-1.5835404,-1.5469134,0.03699168,4.2867126,4.321568,0.044555083
21613237,256.3428,C16H20N2O,CC1=CN=CN1C2C3=CC=CC=C3C(C2(C)C)(C)O,-5.67629492143,-0.5006894849199997,5.175605436510001,-5.7124677,-5.764163,0.039742734,-0.41300344,-0.38368925,0.041726943,5.299982,5.381809,0.045853782
21613374,205.63878,C8H12ClNO3,C1CCC(CC1)N=C=O.C(=O)(O)Cl,-7.129382883100001,-0.9115813991749996,6.217801483925001,-6.506645,-6.4936104,0.14574136,-0.88262534,-1.0210029,0.29745194,5.6268883,5.4721327,0.41989943
21614477,291.32078,C11H17NO6S,CCC1=CC(=O)N(C(=C1CS(=O)(=O)O)O)CCOC,-5.423229040465,-0.7700821969150002,4.65314684355,-6.28046,-6.258395,0.07327539,-1.1779026,-1.1891698,0.14717744,5.1002727,5.0672836,0.11408693
21614365,289.75674,C16H16ClNO2,CC1(COC(O1)(C2=CN=CC=C2)C3=CC=CC=C3Cl)C,-6.506242165455,-0.6938903187749998,5.81235184668,-6.5624714,-6.5315914,0.026227959,-0.8296086,-0.85513866,0.026796373,5.7348804,5.6765356,0.05051651
21614454,220.3107,C13H20N2O,CCN1CCN(CC1)C2=CC=C(C=C2)OC,-5.417786763455,0.0299325235549998,5.44771928701,-4.93647,-5.0421457,0.1226475,0.041573524,0.059921116,0.03445963,4.9661064,5.0961785,0.11363416
21613970,297.75728,C13H12ClNO3S,C1=CC=C(C=C1)OC2=CC=CC=C2NS(=O)(=O)CCl,-6.010994957545001,-0.4299398837900003,5.581055073755,-6.0592756,-6.02871,0.044658702,-0.8029796,-0.75215656,0.07324659,5.258084,5.2781916,0.03359733
21612985,274.31502,C15H18N2O3,COC1(C=C(C=CC1(N)N)C(=O)C2=CC=CC=C2)OC,-5.997389265020001,-1.7279229506749996,4.269466314345001,-5.6490893,-5.7586617,0.13074993,-1.3499235,-1.329252,0.051962014,4.301296,4.432406,0.15733585
21613896,247.3758,C16H25NO,CC(C)C(CC(CC(C1=CC=CC=C1)N)O)C=C,-6.201474652895,-0.3428634516300004,5.858611201264999,-6.29197,-6.194786,0.08705652,-0.032754302,0.1270868,0.09677982,6.2599597,6.3201632,0.10204312
21614627,295.1293256,C9H5F8NO,C1=CC(=C(C(=C1N)F)F)OC(C(C(F)F)(F)F)(F)F,-5.8232364007,-0.2176910803999998,5.6055453203,-5.4938993,-5.518775,0.07727177,-0.6741344,-0.6785625,0.12531316,4.81791,4.840882,0.064026155
61070727,277.44814,C17H31N3,CC(C)(C)C1CCC(CC1)NCCCCN2C=CN=C2,-5.902149417345,0.6231407176449997,6.52529013499,-5.61984,-5.6616592,0.07149236,0.24176776,0.23689279,0.10463604,5.8598948,5.892179,0.11408599
