cid,mw,formula,smiles,homo,lumo,gap
119852828,398.36976,C20H29Cl2N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)[C@H](CC2=CC=CC=C2)N.Cl.Cl,-5.52391116515,-0.3183732050849999,5.2055379600650005
119852829,325.44788,C20H27N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)[C@H](CC2=CC=CC=C2)N,-5.521190026645,-0.22585449591499973,5.29533553073
119852830,376.36424,C18H31Cl2N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)C2CCCC(C2)N.Cl.Cl,-5.89398600183,-0.44626671482000013,5.44771928701
119852831,303.44236,C18H29N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)C2CCCC(C2)N,-5.586497350765001,-0.23401791142999961,5.352479439335001
119852833,412.39634,C21H31Cl2N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)C(C)C(C2=CC=CC=C2)N.Cl.Cl,-5.67085264442,-0.38912280621500006,5.281729838205
119852834,339.47446,C21H29N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)C(C)C(C2=CC=CC=C2)N,-5.570170519735,-0.2204122189050004,5.34975830083
119852835,350.32696,C16H29Cl2N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)C(C)(C)CN.Cl.Cl,-5.553843688705,-0.7591976428949998,4.79464604581
119852836,362.33766,C17H29Cl2N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)C2(CCCC2)N.Cl.Cl,-5.962014464455,-0.4571512688399997,5.504863195615
119852837,410.38046,C21H29Cl2N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)C2CC3=CC=CC=C3CN2.Cl.Cl,-5.986504711,-0.7836878894400003,5.20281682156
119852838,337.45858,C21H27N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)C2CC3=CC=CC=C3CN2,-5.548401411695,-0.28027726601500014,5.26812414568
119852839,402.40152,C20H33Cl2N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)C2CC3CCCCC3N2.Cl.Cl,-5.951129910435,-0.7129382883100002,5.238191622125
119852840,329.47964,C20H31N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)C2CC3CCCCC3N2,-5.600103043290001,-0.20408538787499975,5.396017655415001
119852841,384.34318,C19H27Cl2N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)CNC2=CC=CC=C2.Cl.Cl,-5.766092492095,-0.3020463740550001,5.46404611804
119852842,311.4213,C19H25N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)CNC2=CC=CC=C2,-5.401459932425,-0.29932523555000046,5.102134696875
119852844,404.76166,C18H24Cl3N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)C2=C(C=C(C=C2)N)Cl.Cl.Cl,-5.4966997801,-0.6040927481100002,4.89260703199
119852845,331.83978,C18H22ClN3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)C2=C(C=C(C=C2)N)Cl,-5.45316156402,-0.5904870555850001,4.862674508435
119852846,364.31048,C16H27Cl2N3O2,CCN(CC)CC1=CC(=CC=C1)NC(=O)C2CC(CN2)O.Cl.Cl,-5.752486799570001,-0.35646914415499964,5.396017655415001
119852847,404.4174,C20H35Cl2N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)CC(C)C2CCCNC2.Cl.Cl,-5.65452581339,-0.8653220445900001,4.7892037688
119852848,331.49552,C20H33N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)CC(C)C2CCCNC2,-5.586497350765001,-0.22857563442000028,5.357921716345
119852849,376.36424,C18H31Cl2N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)CC2CCNCC2.Cl.Cl,-5.58377621226,-0.3374211746200002,5.24635503764
119852850,303.44236,C18H29N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)CC2CCNCC2,-5.564728242725,-0.18503741834000031,5.3796908243849995
119852851,322.2738,C14H25Cl2N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)[C@@H](C)N.Cl.Cl,-5.755207938075,-0.26667157349000004,5.488536364585
119852852,364.35354,C17H31Cl2N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)[C@H](C(C)(C)C)N.Cl.Cl,-5.7688136305999995,-0.8163415514999999,4.9524720791
119852854,348.31108,C16H27Cl2N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)[C@@H]2CCCN2.Cl.Cl,-5.477651810565001,-0.24218132694500039,5.23547048362
119852856,329.47964,C20H31N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)CC2CC3CCC(C2)N3,-5.61098759731,-0.32109434358999955,5.289893253720001
119852857,350.32696,C16H29Cl2N3O,CCN(CC)CC1=CC(=CC=C1)NC(=O)C(C)CNC.Cl.Cl,-5.8259575392050005,-0.34286345162999954,5.483094087575001
119852858,378.33706,C17H29Cl2N3O2,CCN(CC)CC1=CC(=CC=C1)NC(=O)CC2CNCCO2.Cl.Cl,-5.602824181795,-0.851716352065,4.7511078297300005
119852859,305.41518,C17H27N3O2,CCN(CC)CC1=CC(=CC=C1)NC(=O)CC2CNCCO2,-5.461324979535,-0.06530732411999995,5.396017655415
119852860,336.30038,C15H27Cl2N3O,CC[C@@H](C(=O)NC1=CC=CC(=C1)CN(CC)CC)N.Cl.Cl,-5.662689228905,-0.37007483667999974,5.292614392225
