feature,gain_importance,split_importance
abs_gps_schnet_lumo,9.135106198955327,78
abs_gps_schnet_gap,6.807791628874838,93
base_homo,3.2128499783575535,45
gps_homo,1.63923364225775,43
logp,1.2940135598182678,39
abs_gps_schnet_homo,1.2163500813767314,49
conjugated_bonds,1.1397729720920324,49
base_gap,0.9704176164232194,22
gap_consistency_abs,0.9622445600107312,63
fraction_csp3,0.827873551286757,49
gap_consistency_signed,0.8229104410856962,36
tpsa,0.7113526682369411,54
gps_gap,0.6988882850855589,30
schnet_lumo,0.6320960381999612,17
schnet_gap,0.6184656289406121,38
base_lumo,0.5194659852422774,24
mw,0.39807239128276706,28
n_O,0.29305705009028316,21
aromatic_atom_fraction,0.2800962491892278,18
rotatable_bonds,0.21240377193316817,16
schnet_homo,0.21206829976290464,16
gps_lumo,0.1877275612205267,12
fixed_route_margin,0.17907310090959072,8
n_N,0.16749064065515995,11
heavy_atoms,0.1649381397292018,13
hbd,0.15219391183927655,11
ring_count,0.11142149940133095,2
hba,0.0765161719173193,5
aromatic_rings,0.058479201048612595,3
n_F,0.04699387028813362,5
n_S,0.036302609369158745,2
fixed_route_flag,0.0,0
formal_charge,0.0,0
n_Si,0.0,0
n_Cl,0.0,0
n_P,0.0,0
n_B,0.0,0
n_Br,0.0,0
