Device: cuda
Aligned N=497578 split=398062/49757/49759

Baseline FusionHead
  ep000 val=0.0939 best=0.0939@0
  ep001 val=0.0941 best=0.0939@0
  ep002 val=0.0818 best=0.0818@2
  ep003 val=0.0811 best=0.0811@3
  ep004 val=0.0810 best=0.0810@4
  ep005 val=0.0803 best=0.0803@5
  ep006 val=0.0803 best=0.0803@5
  ep007 val=0.0815 best=0.0803@5
  ep008 val=0.0803 best=0.0803@5
  ep009 val=0.0799 best=0.0799@9
  ep010 val=0.0818 best=0.0799@9
  ep011 val=0.0797 best=0.0797@11
  ep012 val=0.0797 best=0.0797@12
  ep013 val=0.0803 best=0.0797@12
  ep014 val=0.0796 best=0.0796@14
  ep015 val=0.0815 best=0.0796@14
  ep016 val=0.0804 best=0.0796@14
  ep017 val=0.0810 best=0.0796@14
  ep018 val=0.0802 best=0.0796@14
  ep019 val=0.0802 best=0.0796@14
  ep020 val=0.0803 best=0.0796@14
  ep021 val=0.0802 best=0.0796@14
  ep022 val=0.0800 best=0.0796@14
  ep023 val=0.0803 best=0.0796@14
  ep024 val=0.0808 best=0.0796@14
  ep025 val=0.0798 best=0.0796@14
  ep026 val=0.0807 best=0.0796@14
  ep027 val=0.0805 best=0.0796@14
  ep028 val=0.0802 best=0.0796@14
  ep029 val=0.0805 best=0.0796@14
  ep030 val=0.0804 best=0.0796@14
  ep031 val=0.0797 best=0.0796@14
  ep032 val=0.0804 best=0.0796@14
  ep033 val=0.0804 best=0.0796@14
  ep034 val=0.0802 best=0.0796@14
  ep035 val=0.0802 best=0.0796@14
  ep036 val=0.0802 best=0.0796@14
  ep037 val=0.0803 best=0.0796@14
  ep038 val=0.0802 best=0.0796@14
  ep039 val=0.0805 best=0.0796@14
  ep040 val=0.0807 best=0.0796@14
  ep041 val=0.0803 best=0.0796@14
  ep042 val=0.0803 best=0.0796@14
  ep043 val=0.0807 best=0.0796@14
  ep044 val=0.0805 best=0.0796@14

Metrics -> results\phase8\fusion_arch_depth9_metrics.json
Gap MAE baseline=0.0931 avg=0.0807
