Device: cuda | kind=schnet
NVIDIA GeForce RTX 5060 | 8.5 GB
Loaded 497578 graphs from results\phase8\pyg_3d_graphs_etkdg_expansion_500k.pt
Metrics -> results\phase8\schnet_expansion_500k_metrics.json
  embed batch 1/3888 (0s)
  embed batch 21/3888 (1s)
  embed batch 41/3888 (1s)
  embed batch 61/3888 (2s)
  embed batch 81/3888 (3s)
  embed batch 101/3888 (3s)
  embed batch 121/3888 (4s)
  embed batch 141/3888 (5s)
  embed batch 161/3888 (5s)
  embed batch 181/3888 (6s)
  embed batch 201/3888 (7s)
  embed batch 221/3888 (8s)
  embed batch 241/3888 (9s)
  embed batch 261/3888 (10s)
  embed batch 281/3888 (11s)
  embed batch 301/3888 (13s)
  embed batch 321/3888 (14s)
  embed batch 341/3888 (15s)
  embed batch 361/3888 (16s)
  embed batch 381/3888 (16s)
  embed batch 401/3888 (17s)
  embed batch 421/3888 (18s)
  embed batch 441/3888 (19s)
  embed batch 461/3888 (19s)
  embed batch 481/3888 (20s)
  embed batch 501/3888 (21s)
  embed batch 521/3888 (21s)
  embed batch 541/3888 (22s)
  embed batch 561/3888 (23s)
  embed batch 581/3888 (24s)
  embed batch 601/3888 (24s)
  embed batch 621/3888 (25s)
  embed batch 641/3888 (25s)
  embed batch 661/3888 (26s)
  embed batch 681/3888 (27s)
  embed batch 701/3888 (28s)
  embed batch 721/3888 (28s)
  embed batch 741/3888 (29s)
  embed batch 761/3888 (30s)
  embed batch 781/3888 (31s)
  embed batch 801/3888 (31s)
  embed batch 821/3888 (32s)
  embed batch 841/3888 (33s)
  embed batch 861/3888 (33s)
  embed batch 881/3888 (34s)
  embed batch 901/3888 (35s)
  embed batch 921/3888 (35s)
  embed batch 941/3888 (36s)
  embed batch 961/3888 (37s)
  embed batch 981/3888 (37s)
  embed batch 1001/3888 (38s)
  embed batch 1021/3888 (39s)
  embed batch 1041/3888 (39s)
  embed batch 1061/3888 (40s)
  embed batch 1081/3888 (41s)
  embed batch 1101/3888 (41s)
  embed batch 1121/3888 (42s)
  embed batch 1141/3888 (43s)
  embed batch 1161/3888 (43s)
  embed batch 1181/3888 (44s)
