smiles,gw_homo,gw_lumo,gw_gap,pred_homo,pred_lumo,pred_gap,delta_homo,delta_lumo,delta_gap
"COC(=O)[C@H](n1c(=S)sc(c1CC)C)C	
",-7.3529,0.2503,7.6032,-5.1798944,-0.7077791,4.475265,-2.17300555267334,0.9580791094779968,3.127934973907471
"COc1cc(/C=N/NC(=O)C)ccc1OC	
",-7.3986,-0.0988,7.2998,-5.2251406,-1.0436902,4.1810145,-2.173459428405762,0.9448902046203613,3.118785462188721
"CC(=O)c1c(O)cc2c(c1C(F)(F)F)CCCCC2	
",-8.3863,0.1867,8.573,-6.2513123,-1.3228717,4.932041,-2.1349877441406253,1.5095716850280763,3.6409588317871098
"Cc1cc2Cc3ccccc3S(=O)(=O)c2c(c1)C	
",-8.7984,-0.1907,8.607700000000001,-6.646746,-1.1326046,5.515973,-2.1516538414001474,0.9419045989990235,3.091726908874513
"N#C[C](c1ccc(c2c1non2)[C](C#N)C#N)C#N	
",-9.6845,-4.0114,5.6731,-8.081963,-3.9782958,4.086852,-1.6025374145507811,-0.03310419692993172,1.5862479263305662
"ClCc1c(C)c2c(n1S(=O)(=O)c1ccccc1)cccc2	
",-7.9007000000000005,-0.3594,7.541300000000001,-5.687993,-1.6854625,4.002984,-2.2127069503784185,1.326062474822998,3.5383159530639654
"CN(c1sc(c(n1)C(C)(C)C)C(=O)C)C	
",-7.5042,-0.1075,7.3967,-5.5924435,-1.0686486,4.5287013,-1.9117565338134765,0.9611485767364502,2.8679986946105958
"Cc1ccc(cc1)S(=O)(=O)N1[C@@H]2C=C([C@H](C1=O)[C@@H]1[C@H]2C=CC1)S(=O)(=O)c1ccccc1	
",-9.1681,-0.5784,8.5897,-6.6723804,-1.4762377,5.209601,-2.4957195526123055,0.8978376546859741,3.380099074554444
"O=C(c1ccc(cc1)N(=O)=O)OC(c1ccccc1)(C)C	
",-8.9308,-1.401,7.5298,-6.735592,-2.8187633,3.9125686,-2.1952081115722653,1.417763256072998,3.61723143081665
"COC1=C[C@@]2(CCCN3[C@@]2(C(=O)[C@@H]1N=N3)OC)C(=O)OC	
",-8.3437,0.21130000000000002,8.555,-5.722213,-1.0690999,4.6542063,-2.621487208557129,1.2803999031066895,3.9007937240600583
"Oc1ccccc1/C=N/[C@H](c1ccccc1)C	
",-7.9917,-0.2389,7.7528,-5.9366207,-1.078947,4.8647847,-2.0550792877197264,0.8400469480514526,2.8880152824401852
"CC1=CC(=O)[C@@]2([C@H](C1=O)Cc1c(C2)cccc1)C	
",-8.645199999999999,-1.1633,7.4818999999999996,-6.489785,-2.2929993,4.18876,-2.1554148056030265,1.129699267578125,3.293140196228027
"Clc1cccc2c1[C@@H]1c3c([C@H]2c2c1c(Cl)ccc2)cccc3Cl	
",-8.2403,0.1967,8.437,-6.134802,-0.69555306,5.444366,-2.105498135375976,0.8922530643463135,2.9926340217590326
"ClC[C@H]1CNc2c1c1cc(ccc1c(c2)N(=O)=O)S(=O)(=O)C	
",-7.792,-1.516,6.276,-6.305676,-2.7055075,3.6081963,-1.4863240165710447,1.189507516860962,2.667803741455078
"ClC[C@@H]1CNc2c1c1cccc(c1c(c2)N(=O)=O)N(=O)=O	
",-8.0498,-1.5758,6.473999999999999,-6.269808,-2.70298,3.5774877,-1.7799921844482416,1.1271800415039062,2.896512292861938
"O=C1CCC2=NN1CC#Cc1ccccc1C#CCO2	
",-8.1986,-0.3045,7.894100000000001,-5.8616805,-1.189295,4.67932,-2.3369194923400887,0.8847950534820557,3.2147801414489754
"Clc1cccc(c1Cn1c(Cl)nc2c1c(=O)n(C)c(=O)n2C)Cl	
",-7.9949,-0.10590000000000001,7.889,-5.982434,-1.3363599,4.64931,-2.0124662040710453,1.2304598585128783,3.2396898880004885
