smiles,gw_homo,gw_lumo,gw_gap,pred_homo,pred_lumo,pred_gap,delta_homo,delta_lumo,delta_gap
"COC(=O)[C@H](n1c(=S)sc(c1CC)C)C	
",-7.3529,0.2503,7.6032,-5.203793,-0.65121895,4.560093,-2.1491069511413574,0.9015189507484436,3.0431070739746096
"COc1cc(/C=N/NC(=O)C)ccc1OC	
",-7.3986,-0.0988,7.2998,-5.19571,-1.0300913,4.175245,-2.2028898178100587,0.9312912857055664,3.124555191802979
"CC(=O)c1c(O)cc2c(c1C(F)(F)F)CCCCC2	
",-8.3863,0.1867,8.573,-6.1840577,-1.4073517,4.775014,-2.2022422874450687,1.5940517322540284,3.797986076354981
"Cc1cc2Cc3ccccc3S(=O)(=O)c2c(c1)C	
",-8.7984,-0.1907,8.607700000000001,-6.5871286,-1.2687104,5.3064423,-2.2112713607788095,1.0780103748321532,3.3012577392578137
"N#C[C](c1ccc(c2c1non2)[C](C#N)C#N)C#N	
",-9.6845,-4.0114,5.6731,-7.762398,-3.9164355,3.8825276,-1.9221022338867186,-0.09496451988220223,1.7905724102020262
"ClCc1c(C)c2c(n1S(=O)(=O)c1ccccc1)cccc2	
",-7.9007000000000005,-0.3594,7.541300000000001,-5.77668,-1.5821451,4.1937127,-2.1240200073242193,1.222745094871521,3.347587288665772
"CN(c1sc(c(n1)C(C)(C)C)C(=O)C)C	
",-7.5042,-0.1075,7.3967,-5.525078,-1.025461,4.49605,-1.9791221801757812,0.9179609584808349,2.9006501190185547
"Cc1ccc(cc1)S(=O)(=O)N1[C@@H]2C=C([C@H](C1=O)[C@@H]1[C@H]2C=CC1)S(=O)(=O)c1ccccc1	
",-9.1681,-0.5784,8.5897,-6.4620285,-1.6272048,4.838725,-2.706071496582032,1.0488047758102417,3.750974909973145
"O=C(c1ccc(cc1)N(=O)=O)OC(c1ccccc1)(C)C	
",-8.9308,-1.401,7.5298,-6.7228317,-2.782759,3.953615,-2.207968273925781,1.3817589511871338,3.576185049819946
"COC1=C[C@@]2(CCCN3[C@@]2(C(=O)[C@@H]1N=N3)OC)C(=O)OC	
",-8.3437,0.21130000000000002,8.555,-5.69264,-1.2359579,4.440017,-2.6510601722717286,1.4472578609466553,4.114982776641845
"Oc1ccccc1/C=N/[C@H](c1ccccc1)C	
",-7.9917,-0.2389,7.7528,-5.8106346,-1.1872054,4.6246133,-2.1810653869628904,0.94830543384552,3.1281867149353024
"CC1=CC(=O)[C@@]2([C@H](C1=O)Cc1c(C2)cccc1)C	
",-8.645199999999999,-1.1633,7.4818999999999996,-6.368884,-2.4042842,3.9611688,-2.2763159133911124,1.2409842388153076,3.520731233978271
"Clc1cccc2c1[C@@H]1c3c([C@H]2c2c1c(Cl)ccc2)cccc3Cl	
",-8.2403,0.1967,8.437,-6.0338936,-0.678661,5.346135,-2.2064064147949214,0.8753609888076782,3.0908648605346674
"ClC[C@H]1CNc2c1c1cc(ccc1c(c2)N(=O)=O)S(=O)(=O)C	
",-7.792,-1.516,6.276,-6.2670994,-2.9563885,3.3155465,-1.5249006195068358,1.4403884735107422,2.96045348739624
"ClC[C@@H]1CNc2c1c1cccc(c1c(c2)N(=O)=O)N(=O)=O	
",-8.0498,-1.5758,6.473999999999999,-6.2199383,-2.8903224,3.3488708,-1.8298617218017572,1.31452244682312,3.125129245758056
"O=C1CCC2=NN1CC#Cc1ccccc1C#CCO2	
",-8.1986,-0.3045,7.894100000000001,-5.753415,-1.4333277,4.3078656,-2.44518489227295,1.1288276748657227,3.586234380340577
"Clc1cccc(c1Cn1c(Cl)nc2c1c(=O)n(C)c(=O)n2C)Cl	
",-7.9949,-0.10590000000000001,7.889,-5.9405756,-1.2316172,4.6970854,-2.05432440032959,1.1257172122955321,3.191914619445801
"Fc1ccc(c(c1C(C(F)(F)F)(F)F)c1ccccc1)c1ccccc1	
",-8.4881,-0.2341,8.254,-6.3597326,-1.0406041,5.3065367,-2.128367372131347,0.8065041145324707,2.947463325500488
